Name,                               English,                                     Translation,                                   Restrictions, Comment
__Priority,                         0,                                           0,                                             ,             Order of language importance. Allows other packs to supplement or replace sections
_Argument0,                         {0},                                         {0},                                           ,             single unlocalised argument
_Error,                             Error: {0},                                  Error: {0},                                    ,             General error prefix
_Language,                          Spanish,                                     Spanish,                                       ,             Language name - in English
_LanguageNative,                    Spanish,                                     Español,                                       ,             Language name in the native language
_GameMaker2016,                     GameMaker Studio 2,                          GameMaker Studio 2,                            ,             IDE title
$win_OpenInExplorer,                Open In Explorer,                            Abrir en el explorador,                        ,             Windows version of Open In Explorer
$win_OpenProjectInExplorer,         Open Project In Explorer,                    Abrir proyecto en el explorador,               ,             Windows version of Open Project In Explorer
$win_ShowLogFileInExplorer,         Open Log In Explorer,                        Abrir registro en el explorador,               ,             Windows version of Show Log In Explorer
$mac_OpenInExplorer,                Show In Finder,                              Mostrar en el Finder,                          ,             Mac version of Open In Explorer
$mac_OpenProjectInExplorer,         Show Project In Finder,                      Mostrar proyecto en el Finder,                 ,             Mac version of Open Project In Explorer
$mac_ShowLogFileInExplorer,         Reveal Log In Finder,                        Revelar registro en el Finder,                 ,             Mac version of Show Log In Explorer
Account_Menu_Login,                 Login,                                       Iniciar Sesión,                                ,             "Account menu ""Login"""
Account_Menu_Logout,                Logout,                                      Cerrar Sesión,                                 ,             "Acount menu ""Logout"""
Account_Menu_ManageAccount,         Manage Account,                              Administrar Cuenta,                            ,             "Account menu ""Account"""
AnimationManager_InvalidTransition, The transition specified '{0}' is not valid, La transición especificada '{0}' no es valida, ,             The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,             Horizontal Speed,                            Velocidad horizontal,                          ,             Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,              Horizontal Tile,                             Mosaico horizontal,                            ,             Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,       <no background>,                             <no background>,                               ,             no background selected caption for the background layer button
BackgroundLayer_PosX,               X Offset,                                    Compensa X,                                    ,             Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Compensa Y,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Estirar,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,Velocidad vertical,,Numeric textbox label for vertical scroll speed
BackgroundLayer_VTile,Vertical Tile,Mosaico vertical,,Checkbox label for vertical tiling
Breakpoints,Breakpoints,Puntos de ruptura,,Breakpoints
Breakpoint_Delete,Delete Breakpoint,Eliminar puntos de ruptura,,delete breakpoint menu option
Breakpoint_GotoCode,Go To Code,Ir al código,,breakpoint show code menu option
Breakpoint_MenuToggle,Toggle Breakpoint,Alternar puntos de ruptura,,toggle breakpoint menu option
Breakpoint_Help,"There are no breakpoints to display.\nTo place one, press F9 on the desired line in a code editor.","No hay puntos de ruptura que mostrar.\nPara colocar uno, presione F9 en la línea deseaa en el editor de código.",,Breakpoint help text to be displayed when there are no breakpoints
Build_FailedCompile,ERROR: Project failed to compile: error code {0},ERROR: El proyecto no pudo compilar: código de error {0},,Error message when the project fails to compile
Build_FailedDeploy,ERROR: Project failed to deploy: error code {0},ERROR: El proyecto no se pudo implementar: código de error {0},,Error message when the project fails to deploy
Build_FailedRun,ERROR: Project failed to run: error code {0},ERROR: El proyecto falló al ejecutar: código de error {0},,Error message when the project fails to run
Button_Add,Add,Añadir,,Add button
Button_Cancel,Cancel,Cancelar,,cancel button
